Unnamed: 0,Unnamed: 0.1,Date,Price,Open,High,Low,Vol,Change,prev_change,day,month,year,weekday,quarter,change_class,kfold
86,87,2015-08-27,16660.0,16290.0,16670.0,16290.0,172.0,2.27,-0.07,27,8,2015,3,3,1,0
87,88,2015-08-26,16290.0,15680.0,16300.0,15680.0,208.4,3.95,2.27,26,8,2015,2,3,1,0
88,89,2015-08-25,15660.0,15880.0,16310.0,15650.0,213.2,-1.29,3.95,25,8,2015,1,3,0,0
89,90,2015-08-24,15870.0,16460.0,16460.0,15370.0,294.0,-3.57,-1.29,24,8,2015,0,3,0,0
90,91,2015-08-21,16460.0,17000.0,17000.0,16460.0,225.1,-3.12,-3.57,21,8,2015,4,3,0,0
91,92,2015-08-20,17000.0,17340.0,17340.0,17000.0,128.5,-2.06,-3.12,20,8,2015,3,3,0,0
92,93,2015-08-19,17340.0,17500.0,17520.0,17280.0,104.75,-0.93,-2.06,19,8,2015,2,3,0,0
93,94,2015-08-18,17500.0,17540.0,17570.0,17490.0,79.9,-0.19,-0.93,18,8,2015,1,3,0,0
94,95,2015-08-17,17550.0,17470.0,17550.0,17340.0,73.4,0.39,-0.19,17,8,2015,0,3,0,0
95,96,2015-08-14,17470.0,17400.0,17490.0,17390.0,82.1,0.4,0.39,14,8,2015,4,3,0,0
96,97,2015-08-13,17400.0,17400.0,17490.0,17340.0,88.56,0.03,0.4,13,8,2015,3,3,0,0
97,98,2015-08-12,17400.0,17380.0,17420.0,17120.0,120.4,0.0,0.03,12,8,2015,2,3,0,0
98,99,2015-08-11,17400.0,17600.0,17600.0,17360.0,103.0,-1.21,0.0,11,8,2015,1,3,0,0
99,100,2015-08-10,17620.0,17380.0,17630.0,17380.0,92.44,1.39,-1.21,10,8,2015,0,3,1,0
100,101,2015-08-07,17380.0,17400.0,17400.0,17280.0,81.8,-0.27,1.39,7,8,2015,4,3,0,0
101,102,2015-08-06,17420.0,17540.0,17570.0,17360.0,96.2,-0.69,-0.27,6,8,2015,3,3,0,0
102,103,2015-08-05,17540.0,17550.0,17660.0,17490.0,102.44,-0.06,-0.69,5,8,2015,2,3,0,0
103,104,2015-08-04,17550.0,17600.0,17630.0,17500.0,99.06,-0.27,-0.06,4,8,2015,1,3,0,0
104,105,2015-08-03,17600.0,17700.0,17710.0,17500.0,87.9,-0.52,-0.27,3,8,2015,0,3,0,0
105,106,2015-07-31,17700.0,17760.0,17780.0,17660.0,106.1,-0.32,-0.52,31,7,2015,4,3,0,0
106,107,2015-07-30,17740.0,17740.0,17760.0,17650.0,76.6,-0.03,-0.32,30,7,2015,3,3,0,0
107,108,2015-07-29,17740.0,17630.0,17780.0,17630.0,93.1,0.69,-0.03,29,7,2015,2,3,0,0
108,109,2015-07-28,17630.0,17460.0,17650.0,17460.0,103.44,1.09,0.69,28,7,2015,1,3,1,0
109,110,2015-07-27,17440.0,17570.0,17570.0,17390.0,117.9,-0.73,1.09,27,7,2015,0,3,0,0
110,111,2015-07-24,17570.0,17730.0,17760.0,17550.0,103.5,-0.92,-0.73,24,7,2015,4,3,0,0
111,112,2015-07-23,17730.0,17860.0,17860.0,17710.0,88.6,-0.67,-0.92,23,7,2015,3,3,0,0
112,113,2015-07-22,17860.0,17920.0,17920.0,17810.0,112.4,-0.38,-0.67,22,7,2015,2,3,0,0
113,114,2015-07-21,17920.0,18100.0,18100.0,17870.0,100.2,-1.0,-0.38,21,7,2015,1,3,0,0
114,115,2015-07-20,18100.0,18080.0,18140.0,18060.0,75.06,0.08,-1.0,20,7,2015,0,3,0,0
115,116,2015-07-17,18080.0,18110.0,18130.0,18030.0,106.5,-0.19,0.08,17,7,2015,4,3,0,0
116,117,2015-07-16,18130.0,18080.0,18130.0,18060.0,85.0,0.39,-0.19,16,7,2015,3,3,0,0
117,118,2015-07-15,18050.0,18050.0,18100.0,18020.0,80.44,-0.02,0.39,15,7,2015,2,3,0,0
118,119,2015-07-14,18050.0,17970.0,18080.0,17950.0,76.75,0.42,-0.02,14,7,2015,1,3,0,0
119,120,2015-07-13,17980.0,17800.0,17980.0,17800.0,86.4,1.22,0.42,13,7,2015,0,3,1,0
120,121,2015-07-10,17760.0,17570.0,17800.0,17570.0,85.8,1.21,1.22,10,7,2015,4,3,1,0
121,122,2015-07-09,17550.0,17540.0,17760.0,17540.0,100.5,0.19,1.21,9,7,2015,3,3,0,0
122,123,2015-07-08,17520.0,17760.0,17760.0,17500.0,69.8,-1.47,0.19,8,7,2015,2,3,0,0
123,124,2015-07-07,17780.0,17680.0,17800.0,17470.0,105.8,0.53,-1.47,7,7,2015,1,3,0,0
124,125,2015-07-06,17680.0,17730.0,17730.0,17570.0,90.1,-0.26,0.53,6,7,2015,0,3,0,0
125,126,2015-07-02,17730.0,17760.0,17820.0,17680.0,83.1,-0.16,-0.26,2,7,2015,3,3,0,0
126,127,2015-07-01,17760.0,17630.0,17810.0,17630.0,87.0,0.79,-0.16,1,7,2015,2,3,0,0
127,128,2015-06-30,17620.0,17600.0,17710.0,17580.0,126.44,0.13,0.79,30,6,2015,1,2,0,0
128,129,2015-06-29,17600.0,17940.0,17940.0,17580.0,116.3,-1.95,0.13,29,6,2015,0,2,0,0
129,130,2015-06-26,17950.0,17890.0,18020.0,17890.0,158.1,0.31,-1.95,26,6,2015,4,2,0,0
130,131,2015-06-25,17890.0,17980.0,18030.0,17890.0,79.0,-0.42,0.31,25,6,2015,3,2,0,0
131,132,2015-06-24,17970.0,18140.0,18140.0,17970.0,105.0,-0.98,-0.42,24,6,2015,2,2,0,0
132,133,2015-06-23,18140.0,18130.0,18190.0,18110.0,76.0,0.13,-0.98,23,6,2015,1,2,0,0
133,134,2015-06-22,18110.0,18030.0,18180.0,18030.0,77.75,0.58,0.13,22,6,2015,0,2,0,0
134,135,2015-06-19,18020.0,18110.0,18110.0,18020.0,258.2,-0.55,0.58,19,6,2015,4,2,0,0
135,136,2015-06-18,18110.0,17950.0,18180.0,17950.0,94.44,1.0,-0.55,18,6,2015,3,2,1,0
136,137,2015-06-17,17940.0,17900.0,18000.0,17840.0,92.44,0.17,1.0,17,6,2015,2,2,0,0
137,138,2015-06-16,17900.0,17800.0,17920.0,17780.0,77.5,0.64,0.17,16,6,2015,1,2,0,0
138,139,2015-06-15,17800.0,17890.0,17890.0,17700.0,91.94,-0.6,0.64,15,6,2015,0,2,0,0
139,140,2015-06-12,17900.0,18030.0,18030.0,17860.0,83.75,-0.78,-0.6,12,6,2015,4,2,0,0
140,141,2015-06-11,18030.0,18000.0,18110.0,18000.0,89.5,0.22,-0.78,11,6,2015,3,2,0,0
141,142,2015-06-10,18000.0,17760.0,18050.0,17760.0,97.0,1.33,0.22,10,6,2015,2,2,1,0
142,143,2015-06-09,17760.0,17760.0,17820.0,17710.0,90.56,-0.01,1.33,9,6,2015,1,2,0,0
143,144,2015-06-08,17760.0,17860.0,17860.0,17760.0,86.3,-0.46,-0.01,8,6,2015,0,2,0,0
144,145,2015-06-05,17860.0,17900.0,17940.0,17820.0,89.1,-0.31,-0.46,5,6,2015,4,2,0,0
145,146,2015-06-04,17900.0,18080.0,18080.0,17870.0,93.5,-0.94,-0.31,4,6,2015,3,2,0,0
146,147,2015-06-03,18080.0,18020.0,18180.0,18020.0,73.1,0.36,-0.94,3,6,2015,2,2,0,0
147,148,2015-06-02,18020.0,18030.0,18100.0,17920.0,77.56,-0.16,0.36,2,6,2015,1,2,0,0
148,149,2015-06-01,18050.0,18020.0,18110.0,17980.0,85.6,0.16,-0.16,1,6,2015,0,2,0,0
149,150,2015-05-29,18020.0,18130.0,18130.0,17970.0,139.8,-0.64,0.16,29,5,2015,4,2,0,0
150,151,2015-05-28,18130.0,18160.0,18160.0,18060.0,67.5,-0.2,-0.64,28,5,2015,3,2,0,0
151,152,2015-05-27,18160.0,18050.0,18190.0,18050.0,96.4,0.67,-0.2,27,5,2015,2,2,0,0
152,153,2015-05-26,18050.0,18220.0,18220.0,17980.0,109.44,-1.04,0.67,26,5,2015,1,2,0,0
153,154,2015-05-22,18240.0,18290.0,18290.0,18220.0,78.9,-0.29,-1.04,22,5,2015,4,2,0,0
154,155,2015-05-21,18290.0,18290.0,18320.0,18260.0,84.25,0.0,-0.29,21,5,2015,3,2,0,0
155,156,2015-05-20,18290.0,18320.0,18350.0,18270.0,80.2,-0.15,0.0,20,5,2015,2,2,0,0
156,157,2015-05-19,18320.0,18300.0,18350.0,18260.0,87.2,0.07,-0.15,19,5,2015,1,2,0,0
157,158,2015-05-18,18300.0,18270.0,18320.0,18240.0,79.06,0.14,0.07,18,5,2015,0,2,0,0
158,159,2015-05-15,18270.0,18260.0,18270.0,18200.0,108.25,0.11,0.14,15,5,2015,4,2,0,0
159,160,2015-05-14,18260.0,18060.0,18260.0,18060.0,91.56,1.06,0.11,14,5,2015,3,2,1,0
160,161,2015-05-13,18060.0,18060.0,18130.0,18030.0,85.2,-0.04,1.06,13,5,2015,2,2,0,0
161,162,2015-05-12,18060.0,18100.0,18110.0,17920.0,89.25,-0.2,-0.04,12,5,2015,1,2,0,0
162,163,2015-05-11,18110.0,18190.0,18190.0,18100.0,86.06,-0.47,-0.2,11,5,2015,0,2,0,0
163,164,2015-05-08,18190.0,17940.0,18200.0,17940.0,94.94,1.49,-0.47,8,5,2015,4,2,1,0
164,165,2015-05-07,17920.0,17840.0,17970.0,17800.0,80.94,0.46,1.49,7,5,2015,3,2,0,0
165,166,2015-05-06,17840.0,17940.0,18020.0,17730.0,100.44,-0.48,0.46,6,5,2015,2,2,0,0
166,167,2015-05-05,17940.0,18060.0,18080.0,17900.0,95.3,-0.79,-0.48,5,5,2015,1,2,0,0
167,168,2015-05-04,18060.0,18030.0,18130.0,18030.0,86.0,0.26,-0.79,4,5,2015,0,2,0,0
168,169,2015-05-01,18030.0,17860.0,18030.0,17860.0,91.7,1.03,0.26,1,5,2015,4,2,1,0
169,170,2015-04-30,17840.0,18030.0,18030.0,17780.0,129.2,-1.08,1.03,30,4,2015,3,2,0,0
170,171,2015-04-29,18030.0,18100.0,18100.0,17950.0,102.06,-0.41,-1.08,29,4,2015,2,2,0,0
171,172,2015-04-28,18110.0,18030.0,18110.0,17920.0,124.94,0.4,-0.41,28,4,2015,1,2,0,0
172,173,2015-04-27,18030.0,18100.0,18180.0,18030.0,121.1,-0.23,0.4,27,4,2015,0,2,0,0
173,174,2015-04-24,18080.0,18060.0,18110.0,18020.0,119.1,0.12,-0.23,24,4,2015,4,2,0,0
174,175,2015-04-23,18060.0,18030.0,18130.0,17970.0,100.25,0.11,0.12,23,4,2015,3,2,0,0
175,176,2015-04-22,18030.0,17950.0,18060.0,17890.0,91.25,0.49,0.11,22,4,2015,2,2,0,0
176,177,2015-04-21,17950.0,18030.0,18110.0,17940.0,95.2,-0.47,0.49,21,4,2015,1,2,0,0
177,178,2015-04-20,18030.0,17840.0,18100.0,17840.0,103.2,1.17,-0.47,20,4,2015,0,2,1,0
178,179,2015-04-17,17820.0,18100.0,18100.0,17740.0,138.9,-1.54,1.17,17,4,2015,4,2,0,0
179,180,2015-04-16,18110.0,18110.0,18180.0,18060.0,89.5,-0.04,-1.54,16,4,2015,3,2,0,0
180,181,2015-04-15,18110.0,18050.0,18160.0,18050.0,113.6,0.42,-0.04,15,4,2015,2,2,0,0
181,182,2015-04-14,18030.0,17980.0,18080.0,17900.0,82.8,0.33,0.42,14,4,2015,1,2,0,0
182,183,2015-04-13,17980.0,18050.0,18110.0,17970.0,120.06,-0.45,0.33,13,4,2015,0,2,0,0
183,184,2015-04-10,18060.0,17950.0,18060.0,17950.0,116.44,0.55,-0.45,10,4,2015,4,2,0,0
184,185,2015-04-09,17950.0,17900.0,17980.0,17820.0,86.75,0.31,0.55,9,4,2015,3,2,0,0
185,186,2015-04-08,17900.0,17870.0,17980.0,17820.0,76.8,0.15,0.31,8,4,2015,2,2,0,0
186,187,2015-04-07,17870.0,17890.0,17980.0,17870.0,72.1,-0.03,0.15,7,4,2015,1,2,0,0
