,Unnamed: 0,Open,High,Low,Close,Volume,Currency,rsi,weekday,middle_bb,lower_bb,upper_bb,macd,pos_directional_indicator,neg_directional_indicator,adx,cci,aroon_down,aroon_up,aroon_indicator,return,ewm_mean_5,ewm_std_5,roll_mean_5,roll_std_5,roll_min_5,roll_max_5,roll_range_5,roll_mean_s_5,roll_std_s_5,roll_min_s_5,roll_max_s_5,roll_range_s_5,roll_min_abs_5,roll_range_sbs_5,roll_q10_5,roll_q25_5,roll_q50_5,roll_q75_5,roll_q90_5,mean_abs_chg5,day,month,year,quarter,is_holiday,shifted_change,return_class
10,10,29.77,30.73,29.61,30.72,182501808,USD,54.78,1,29.78,28.23,31.33,0.4236,22.75,20.83,17.44,52.4,20,100,80.0,-0.014656,0.0016080300901455428,0.02033198125348975,0.00481414794921875,0.01826213377051319,-0.01465606689453125,0.032257080078125,0.04691314697265625,-0.010992431640625,0.020630781906049386,-0.043670654296875,0.005077362060546875,0.04874801635742188,0.043670654296875,-0.01263427734375,-0.021588134765625,-0.011824607849121094,-0.0016651153564453125,0.004499435424804688,0.015042877197265618,0.0,19,1,2010,1,0,0.032260000000000004,1
11,11,30.7,30.8,29.94,30.25,153038048,USD,53.62,2,29.89,28.61,31.17,0.4158,21.16,18.88,16.6,47.38,16,96,80.0,-0.01913,-0.005359857694457688,0.01986012126683817,-0.0016387939453125,0.020187880458617663,-0.019134521484375,0.032257080078125,0.0513916015625,-0.0126983642578125,0.02179231135327793,-0.043670654296875,0.005077362060546875,0.04874801635742188,0.043670654296875,-0.01263427734375,-0.02926483154296875,-0.018014907836914062,-0.003330230712890625,0.0020742416381835933,0.007795333862304678,0.0,20,1,2010,1,0,-0.014656,1
12,12,30.3,30.47,29.6,29.72,152038720,USD,45.28,3,29.97,28.9,31.02,0.3628,19.2,20.64,15.67,-3.3089999999999997,12,92,80.0,-0.04367,-0.018196078698388168,0.025917818103740213,-0.009706878662109376,0.02769724011942899,-0.043670654296875,0.032257080078125,0.075927734375,-0.0129425048828125,0.022228514186999268,-0.044891357421875,0.005077362060546875,0.04996871948242188,0.044891357421875,-0.01263427734375,-0.043792724609375,-0.025531768798828125,-0.008993148803710938,0.0020742416381835933,0.007795333862304678,0.0,21,1,2010,1,0,-0.01913,1
13,13,29.55,29.64,28.17,28.25,220442096,USD,36.28,4,29.95,28.78,31.11,0.1997,16.3,31.45,16.81,-172.2,8,88,80.0,0.0027660000000000002,-0.011184816971092415,0.0238566395749382,-0.008487701416015625,0.028178089648437224,-0.043670654296875,0.032257080078125,0.075927734375,-0.011020660400390623,0.024249657266050717,-0.044891357421875,0.0123748779296875,0.0572662353515625,0.044891357421875,-0.01263427734375,-0.043792724609375,-0.025531768798828125,-0.007328033447265625,0.004499435424804688,0.01436309814453124,0.0,22,1,2010,1,0,-0.04367,3
14,14,28.94,29.23,28.6,29.02,266425072,USD,38.9,0,29.95,28.81,31.08,0.1302,14.765999999999998,28.5,17.89,-141.8,4,84,80.0,0.0,-0.007448011059707446,0.020337247835030426,-0.014939117431640624,0.01857295721089076,-0.043670654296875,0.002765655517578125,0.046436309814453125,-0.011092138290405274,0.0242095454126004,-0.044891357421875,0.0123748779296875,0.0572662353515625,0.044891357421875,-0.04212570190429688,-0.043792724609375,-0.025531768798828125,-0.007506728172302245,0.0020742416381835933,0.005807113647460935,0.0,25,1,2010,1,0,0.0027660000000000002,2
15,15,29.42,30.53,28.94,29.42,466777952,USD,41.8,1,29.94,28.78,31.1,0.1071,24.05,24.5,16.67,-47.3,4,80,76.0,0.005077,-0.003266520622837708,0.01786241330744645,-0.010992431640625,0.020630781906049386,-0.043670654296875,0.005077362060546875,0.04874801635742188,-0.007948064804077148,0.0276156354783558,-0.044891357421875,0.0207977294921875,0.0656890869140625,0.044891357421875,-0.039813995361328125,-0.043792724609375,-0.025531768798828125,-0.0001786947250366211,0.004499435424804688,0.013217163085937495,0.0,26,1,2010,1,0,0.0,3
16,16,29.55,30.08,28.5,29.7,430642464,USD,46.94,2,29.9,28.75,31.06,0.1101,20.92,24.94,16.11,-68.56,88,76,-12.0,-0.02766,-0.01140733786957504,0.019443828739012133,-0.0126983642578125,0.02179231135327793,-0.043670654296875,0.005077362060546875,0.04874801635742188,-0.007111883163452149,0.0269240353238847,-0.044891357421875,0.0207977294921875,0.0656890869140625,0.044891357421875,-0.039813995361328125,-0.043792724609375,-0.02661895751953125,-0.0001786947250366211,0.004499435424804688,0.013217163085937495,0.0,27,1,2010,1,0,0.005077,1
17,17,29.28,29.36,28.39,28.47,293375680,USD,40.34,3,29.83,28.52,31.16,0.013084,18.73,23.22,15.72,-135.1,84,72,-12.0,-0.0449,-0.022576235037164702,0.023739487301785232,-0.0129425048828125,0.022228514186999268,-0.044891357421875,0.005077362060546875,0.04996871948242188,0.004773187637329103,0.017568406355602816,-0.0234832763671875,0.0207977294921875,0.044281005859375,0.044891357421875,-0.018405914306640625,-0.02938690185546875,-0.01770180463790894,0.0013828277587890625,0.010550498962402344,0.015160369873046873,0.0,28,1,2010,1,0,-0.02766,1
18,18,28.73,28.89,27.19,27.44,311488096,USD,34.53,4,29.69,28.02,31.38,-0.1453,16.34,29.3,16.62,-179.1,100,68,-32.0,0.012375,-0.01092060627578879,0.02674065519766072,-0.011020660400390623,0.024249657266050717,-0.044891357421875,0.0123748779296875,0.0572662353515625,0.0006533145904541014,0.017754455049986018,-0.0234832763671875,0.0207977294921875,0.044281005859375,0.044891357421875,-0.0111083984375,-0.02938690185546875,-0.0196685791015625,-0.0001786947250366211,0.010550498962402344,0.015160369873046873,0.0,29,1,2010,1,0,-0.0449,3
19,19,27.48,28.0,27.33,27.81,187468608,USD,38.2,0,29.58,27.72,31.45,-0.2373,15.51,27.8,17.47,-152.4,96,64,-32.0,-0.00035739999999999996,-0.007398474794670244,0.02253009226046566,-0.011092138290405274,0.0242095454126004,-0.044891357421875,0.0123748779296875,0.0572662353515625,0.0005109786987304686,0.017767431449270624,-0.0234832763671875,0.0207977294921875,0.044281005859375,0.044891357421875,-0.0111083984375,-0.02938690185546875,-0.0196685791015625,-0.0007132291793823242,0.010550498962402344,0.015160369873046873,0.0,1,2,2010,1,0,0.012375,1
