DecisionTree,RandomForest,LR,XGBoost,SVM,LGB,LSTM,close_tomorrow
30.28,30.585600000000017,30.85707168420793,30.24852752685547,40.71446894872108,30.038672596456642,30.595483779907227,30.14
30.28,30.609200000000016,30.376861977280896,30.25336456298828,40.706325746316836,30.038672596456642,30.281343460083008,30.08
29.67,29.994100000000007,30.151144712051313,30.169456481933594,40.749611285494524,29.78094454096963,30.32575798034668,30.28
29.67,29.919200000000014,30.361875242148997,30.169456481933594,40.7553751331496,29.630869350803426,30.344032287597656,30.02
30.28,30.141099999999987,30.251126760280325,30.240848541259766,40.724208954713916,29.75988526534089,30.102602005004883,29.67
28.25,28.893,29.733705630509814,28.699247360229492,40.75652937507542,29.608064245860042,30.065595626831055,30.1
30.1,29.82459999999997,30.370528658402858,29.45288848876953,40.74621373445292,29.753438109414738,30.062849044799805,29.92
30.02,30.156699999999965,30.12829489016218,30.201175689697266,40.74672135262942,29.753438109414738,29.963716506958008,29.42
28.25,28.534700000000008,29.452898479891427,28.373491287231445,40.77353023398662,29.282097102609427,29.821529388427734,30.72
28.47,29.715399999999974,30.98281014474428,29.296302795410156,40.771005328468306,29.637624099199922,30.43254280090332,30.25
30.28,30.002499999999976,30.462378546660375,30.328834533691406,40.746137865114335,29.753438109414738,30.28657341003418,29.72
30.28,29.883599999999973,29.963524078423497,30.304231643676758,40.7387755804199,29.753438109414738,29.889236450195312,28.25
28.25,28.14320000000001,28.37918669780071,27.568077087402344,40.766021657783526,29.039917862671405,29.439380645751953,29.02
28.25,28.278400000000016,29.266638919315554,28.38968849182129,40.83985213914637,28.992297980682746,29.13711166381836,29.42
28.25,28.32180000000001,29.55572803786302,28.411373138427734,40.844433757377885,28.992297980682746,29.340763092041016,29.7
28.25,28.547000000000015,29.756450999683754,28.417919158935547,40.85636937635198,28.992297980682746,29.424222946166992,28.47
29.02,29.021599999999975,28.64406270783963,28.752277374267578,40.822656183347846,29.352643312998566,28.828969955444336,27.44
27.92,27.876300000000025,27.563447413390346,27.572174072265625,40.87059529338774,28.992297980682746,28.42844581604004,27.81
27.92,27.89410000000003,28.017791878051973,27.483448028564453,40.944978572600235,28.992297980682746,28.14908218383789,27.98
27.92,27.79520000000004,28.08175875320541,27.483448028564453,40.97134116538682,28.992297980682746,28.146677017211914,28.45
28.62,28.576399999999975,28.636011513633736,28.69211196899414,40.9781331677369,29.353495982699506,28.42414093017578,27.44
28.03,28.158899999999996,27.60419047091123,27.808734893798828,40.98493665390875,29.353495982699506,27.82819175720215,27.92
27.88,27.995500000000053,28.00389377435063,27.811017990112305,41.0190091256741,28.992297980682746,27.870952606201172,27.73
27.88,28.052700000000055,27.750646225174904,27.86822509765625,41.01208485088398,28.992297980682746,27.889686584472656,28.03
28.45,28.368599999999994,28.207082805611616,28.450700759887695,41.02440330795953,29.353495982699506,28.084217071533203,27.88
27.73,28.2211,28.035451895149176,27.99985122680664,41.00947908586237,29.353495982699506,28.032514572143555,28.38
28.38,28.357000000000042,28.36148783116042,28.10382080078125,41.02897784964563,28.992297980682746,28.05392074584961,28.62
28.38,28.485200000000034,28.597201158921358,28.27892303466797,40.99127147852518,28.992297980682746,28.32941436767578,29.06
29.23,29.2371,29.21137331242849,29.33036231994629,40.964305678896594,29.353495982699506,28.932741165161133,28.94
29.23,29.201600000000003,29.109963432824763,29.23204803466797,40.91997556650928,29.353495982699506,28.959291458129883,28.98
29.23,29.282400000000003,29.147932757531684,29.23204803466797,40.91207578645425,29.353495982699506,28.98488998413086,28.81
29.23,29.194299999999995,29.000239072158998,29.23179054260254,40.89370312313548,29.353495982699506,28.903995513916016,28.62
28.86,29.113199999999996,28.827858398972467,29.017763137817383,40.8947367533998,29.353495982699506,28.762048721313477,28.16
